id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
15641935,Renault,Kwid,RXL,16163,2022,414000.0,petrol,1,hatchback,manual,regular,Mumbai,2022,2025.0,12.0
17280056,Maruti Suzuki,Ignis,Alpha AMT Petrol,68809,2018,486000.0,petrol,2,hatchback,automatic,AMT,Mumbai,2018,2025.0,5.0
17604860,Honda,Jazz,VX,42176,2019,591000.0,petrol,1,hatchback,manual,regular,Mumbai,2019,2025.0,8.0
17829252,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,16994,2020,578000.0,petrol,1,hatchback,manual,regular,Mumbai,2020,2025.0,9.0
17604665,Maruti Suzuki,Ciaz,ZXI+,72991,2017,589000.0,petrol,1,sedan,manual,regular,Mumbai,2017,2025.0,12.0
17070100,Skoda,Slavia,Style 1.0L TSI MT,74992,2022,1165443.0,petrol,1,sedan,manual,regular,Mumbai,2022,2025.0,12.0
17843990,Maruti Suzuki,Ignis,Alpha MT Petrol,37495,2018,527000.0,petrol,1,hatchback,manual,regular,Mumbai,2019,2025.0,12.0
16917107,Mahindra,XUV 300,W8 Petrol,29511,2022,935000.0,petrol,1,suv,manual,regular,Mumbai,2022,2025.0,6.0
17664102,Maruti Suzuki,Baleno,Zeta Petrol,15384,2017,556000.0,petrol,1,hatchback,manual,regular,Mumbai,2017,2025.0,4.0
16895189,Hyundai,Venue,SX 1.0  Turbo,17309,2020,840000.0,petrol,1,suv,manual,regular,Mumbai,2020,2025.0,12.0
17133603,Maruti Suzuki,Ciaz,Alpha Petrol,46978,2018,684000.0,petrol,1,sedan,manual,regular,Mumbai,2018,2025.0,10.0
17740196,Mahindra,XUV 300,W8 (O) Petrol,53662,2019,712000.0,petrol,2,suv,manual,regular,Mumbai,2019,2025.0,12.0
16256393,Skoda,Octavia,Elegance 1.8 TSI AT,54519,2015,902000.0,petrol,1,sedan,automatic,,Mumbai,2015,2025.0,12.0
4453009,Hyundai,Venue,SX Plus 1.0 Turbo DCT,42638,2019,1061971.0,petrol,1,suv,automatic,DCT,Mumbai,2019,2025.0,12.0
17578768,Maruti Suzuki,Baleno,Alpha Petrol,50047,2016,524000.0,petrol,1,hatchback,manual,regular,Mumbai,2016,2025.0,4.0
15692398,Hyundai,Elite i20,Asta CVT,100621,2018,564000.0,petrol,1,hatchback,automatic,CVT,Mumbai,2019,2025.0,12.0
16734654,Honda,WR-V,VX i-VTEC,26590,2017,596000.0,petrol,2,suv,manual,regular,Mumbai,2017,2025.0,12.0
17966207,BMW,2 Series Gran Coupe,220i Sport,14310,2021,3029858.0,petrol,1,sedan,automatic,,Mumbai,2021,2025.0,12.0
11550371,Mercedes-Benz,CLA,200 CDI Sport,44549,2018,2292558.0,diesel,2,sedan,automatic,,Mumbai,2018,2025.0,12.0
16205701,BMW,3 Series GT,320d GT Luxury Line,41309,2018,2999558.0,diesel,1,sedan,automatic,,Mumbai,2018,2025.0,12.0
17133603,Maruti Suzuki,Ciaz,Alpha Petrol,46978,2018,684000.0,petrol,1,sedan,manual,regular,Mumbai,2018,2025.0,10.0
17740196,Mahindra,XUV 300,W8 (O) Petrol,53662,2019,712000.0,petrol,2,suv,manual,regular,Mumbai,2019,2025.0,12.0
17202925,Honda,Jazz,ZX CVT,28131,2021,858000.0,petrol,1,hatchback,automatic,CVT,Mumbai,2021,2025.0,12.0
17423660,Honda,City,V 5th Gen,27256,2021,956000.0,petrol,1,sedan,manual,regular,Mumbai,2021,2025.0,12.0
16272396,Hyundai,Creta,1.6L SX VTVT,28697,2019,1016000.0,petrol,1,suv,manual,regular,Mumbai,2019,2025.0,12.0
17976199,Maruti Suzuki,Ciaz,Alpha Petrol,11892,2020,854000.0,petrol,1,sedan,manual,regular,Mumbai,2020,2025.0,12.0
17828492,Maruti Suzuki,Baleno,Zeta Petrol,40416,2017,520000.0,petrol,1,hatchback,manual,regular,Mumbai,2017,2025.0,7.0
16849335,Kia,Seltos,GTX Plus,28746,2019,1290638.0,petrol,1,suv,manual,regular,Mumbai,2019,2025.0,12.0
16964353,Renault,Kiger,RXZ 1.0 Turbo MT,14619,2022,816000.0,petrol,1,suv,manual,regular,Mumbai,2022,2025.0,5.0
17348319,Nissan,Sunny,XL,41413,2017,428000.0,petrol,2,sedan,manual,regular,Mumbai,2019,2025.0,12.0
17863706,Maruti Suzuki,Ciaz,ZXI+,53440,2016,568000.0,petrol,1,sedan,manual,regular,Mumbai,2016,2025.0,9.0
16244617,Hyundai,Creta,1.6 SX Plus Auto Petrol,68956,2017,854000.0,petrol,1,suv,automatic,Torque Convertor,Mumbai,2017,2025.0,12.0
17586806,Skoda,Kushaq,Ambition 1.0L TSI MT,39414,2021,1009000.0,petrol,1,suv,manual,regular,Mumbai,2022,2025.0,12.0
18006379,Maruti Suzuki,Ignis,Delta MT Petrol,41615,2017,347000.0,petrol,3,hatchback,manual,regular,Mumbai,2017,2025.0,12.0
17510168,Toyota,Corolla Altis,G Petrol,104071,2015,549000.0,petrol,2,sedan,manual,regular,Mumbai,2015,2025.0,8.0
17556004,Hyundai,Grand i10,Sportz (O) 1.2 kappa VTVT,34732,2017,454000.0,petrol,1,hatchback,manual,regular,Mumbai,2017,2025.0,12.0
17681860,Maruti Suzuki,Ciaz,Alpha Petrol AT,62813,2018,628000.0,petrol,2,sedan,automatic,AMT,Mumbai,2018,2025.0,5.0
11550371,Mercedes-Benz,CLA,200 CDI Sport,44549,2018,2292558.0,diesel,2,sedan,automatic,,Mumbai,2018,2025.0,12.0
16205701,BMW,3 Series GT,320d GT Luxury Line,41309,2018,2999558.0,diesel,1,sedan,automatic,,Mumbai,2018,2025.0,12.0
16076094,Mercedes-Benz,CLA,200 CDI Sport,50292,2017,2221858.0,diesel,2,sedan,automatic,,Mumbai,2017,2025.0,8.0
17863706,Maruti Suzuki,Ciaz,ZXI+,53440,2016,568000.0,petrol,1,sedan,manual,regular,Mumbai,2016,2025.0,9.0
16244617,Hyundai,Creta,1.6 SX Plus Auto Petrol,68956,2017,854000.0,petrol,1,suv,automatic,Torque Convertor,Mumbai,2017,2025.0,12.0
17586806,Skoda,Kushaq,Ambition 1.0L TSI MT,39414,2021,1009000.0,petrol,1,suv,manual,regular,Mumbai,2022,2025.0,12.0
17340062,Hyundai,Elite i20,Sportz 1.2,42193,2016,449000.0,petrol,2,hatchback,manual,regular,Mumbai,2016,2025.0,12.0
16991641,Maruti Suzuki,Dzire,VXI AMT,10556,2018,619000.0,petrol,1,sedan,automatic,AMT,Mumbai,2018,2025.0,7.0
17336042,Maruti Suzuki,Ciaz,Alpha Petrol,37545,2019,729000.0,petrol,1,sedan,manual,regular,Mumbai,2019,2025.0,8.0
16910495,Honda,City,ZX CVT,61139,2017,724000.0,petrol,2,sedan,automatic,CVT,Mumbai,2017,2025.0,7.0
16713982,Tata,Harrier,XZ,51830,2019,1250185.0,diesel,1,suv,manual,regular,Mumbai,2019,2025.0,12.0
17689465,Maruti Suzuki,Dzire,VXI,47021,2019,597000.0,petrol,1,sedan,manual,regular,Mumbai,2019,2025.0,6.0
17696764,Renault,Kiger,RXZ MT,23825,2022,675000.0,petrol,1,suv,manual,regular,Mumbai,2022,2025.0,4.0
17359013,Tata,Nexon,XZA Plus AMT S,28863,2020,907000.0,petrol,1,suv,automatic,AMT,Mumbai,2020,2025.0,12.0
17000696,Maruti Suzuki,Ciaz,ZXI,36879,2015,514000.0,petrol,1,sedan,manual,regular,Mumbai,2015,2025.0,12.0
17541526,Maruti Suzuki,Wagon R 1.0,LXI CNG,12208,2023,629000.0,petrol+cng,1,hatchback,manual,regular,Mumbai,2023,2025.0,12.0
17728254,Honda,WR-V,VX i-VTEC,92481,2017,547000.0,petrol,1,suv,manual,regular,Mumbai,2017,2025.0,12.0
15905069,Volkswagen,Polo,Highline 1.5 (D),97039,2016,534000.0,diesel,1,hatchback,manual,regular,Mumbai,2016,2025.0,12.0
15990643,Maruti Suzuki,Wagon R 1.0,VXI AMT,17282,2015,369000.0,petrol,1,hatchback,automatic,AMT,Mumbai,2015,2025.0,12.0
17204106,Maruti Suzuki,Swift,VXI,14274,2022,645000.0,petrol,1,hatchback,manual,regular,Mumbai,2022,2025.0,12.0
16205701,BMW,3 Series GT,320d GT Luxury Line,41309,2018,2999558.0,diesel,1,sedan,automatic,,Mumbai,2018,2025.0,12.0
16076094,Mercedes-Benz,CLA,200 CDI Sport,50292,2017,2221858.0,diesel,2,sedan,automatic,,Mumbai,2017,2025.0,8.0
13033472,Jaguar,XE,Portfolio,51102,2015,1918858.0,petrol,2,sedan,automatic,,Mumbai,2016,2025.0,12.0
17359013,Tata,Nexon,XZA Plus AMT S,28863,2020,907000.0,petrol,1,suv,automatic,AMT,Mumbai,2020,2025.0,12.0
17000696,Maruti Suzuki,Ciaz,ZXI,36879,2015,514000.0,petrol,1,sedan,manual,regular,Mumbai,2015,2025.0,12.0
17541526,Maruti Suzuki,Wagon R 1.0,LXI CNG,12208,2023,629000.0,petrol+cng,1,hatchback,manual,regular,Mumbai,2023,2025.0,12.0
18096503,Hyundai,Venue,SX Plus 1.0 Turbo DCT,47144,2021,982000.0,petrol,1,suv,automatic,DCT,Mumbai,2021,2025.0,12.0
17147986,Renault,Triber,RXZ,49510,2019,548000.0,petrol,1,muv,manual,regular,Mumbai,2020,2025.0,12.0
17276227,Kia,Sonet,GTX Plus 1.0 iMT,36290,2022,1087673.0,petrol,1,suv,manual,iMT,Mumbai,2022,2025.0,6.0
15842868,Nissan,Magnite,XV Premium Turbo Dual Tone,60579,2021,671000.0,petrol,1,suv,manual,regular,Mumbai,2021,2025.0,6.0
17101250,Hyundai,Creta,1.6 SX Plus Auto Petrol,59876,2017,875000.0,petrol,1,suv,automatic,Torque Convertor,Mumbai,2017,2025.0,12.0
15865017,Tata,Tiago,Revotron XZ Plus,13117,2021,578000.0,petrol,1,hatchback,manual,regular,Mumbai,2021,2025.0,12.0
17575511,Maruti Suzuki,Swift,ZXI,34461,2013,383000.0,petrol,1,hatchback,manual,regular,Mumbai,2013,2025.0,12.0
17117667,Maruti Suzuki,Ciaz,Alpha Petrol,10474,2022,962000.0,petrol,1,sedan,manual,regular,Mumbai,2022,2025.0,12.0
17013552,Hyundai,Venue,SX 1.0  Turbo iMT,42857,2020,804000.0,petrol,1,suv,manual,iMT,Mumbai,2020,2025.0,12.0
17796829,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,41735,2017,483000.0,petrol,1,hatchback,manual,regular,Mumbai,2017,2025.0,10.0
17864776,Tata,Tiago NRG,XZ,12998,2023,632000.0,petrol,1,hatchback,manual,regular,Mumbai,2023,2025.0,12.0
15807356,Volkswagen,Polo,Comfortline 1.2L (P),44998,2016,368000.0,petrol,3,hatchback,manual,regular,Mumbai,2016,2025.0,5.0
17380719,Hyundai,Creta,1.6 SX Plus Auto Petrol,116010,2016,792000.0,petrol,1,suv,automatic,Torque Convertor,Mumbai,2016,2025.0,9.0
17413946,Maruti Suzuki,Ciaz,ZXI AT,59776,2016,530000.0,petrol,2,sedan,automatic,,Mumbai,2016,2025.0,12.0
16235717,Honda,City,VX CVT,109571,2015,547000.0,petrol,1,sedan,automatic,CVT,Mumbai,2015,2025.0,12.0
16076094,Mercedes-Benz,CLA,200 CDI Sport,50292,2017,2221858.0,diesel,2,sedan,automatic,,Mumbai,2017,2025.0,8.0
13033472,Jaguar,XE,Portfolio,51102,2015,1918858.0,petrol,2,sedan,automatic,,Mumbai,2016,2025.0,12.0
17117667,Maruti Suzuki,Ciaz,Alpha Petrol,10474,2022,962000.0,petrol,1,sedan,manual,regular,Mumbai,2022,2025.0,12.0
17013552,Hyundai,Venue,SX 1.0  Turbo iMT,42857,2020,804000.0,petrol,1,suv,manual,iMT,Mumbai,2020,2025.0,12.0
17796829,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,41735,2017,483000.0,petrol,1,hatchback,manual,regular,Mumbai,2017,2025.0,10.0
17864776,Tata,Tiago NRG,XZ,12998,2023,632000.0,petrol,1,hatchback,manual,regular,Mumbai,2023,2025.0,12.0
16907870,Skoda,Slavia,Ambition 1.0L TSI MT,7325,2022,1160000.0,petrol,1,sedan,manual,regular,Mumbai,2022,2025.0,4.0
16363428,Maruti Suzuki,Baleno,Zeta Petrol,41103,2016,500000.0,petrol,1,hatchback,manual,regular,Mumbai,2016,2025.0,12.0
16798757,Volkswagen,Taigun,Topline 1.0 TSI MT,26946,2022,1340000.0,petrol,1,suv,manual,regular,Mumbai,2022,2025.0,12.0
15277985,Hyundai,Venue,SX 1.0  Turbo,29792,2021,851000.0,petrol,1,suv,manual,regular,Mumbai,2022,2025.0,12.0
18213530,Renault,Kwid,RXL(O) 1.0 Petrol MT SCE,6354,2023,449000.0,petrol,1,hatchback,manual,regular,Mumbai,2023,2025.0,12.0
17700173,Maruti Suzuki,Celerio,ZXI AMT,14581,2022,513000.0,petrol,2,hatchback,automatic,AMT,Mumbai,2022,2025.0,12.0
17799849,Maruti Suzuki,Dzire,ZXI,29318,2018,602000.0,petrol,1,sedan,manual,regular,Mumbai,2018,2025.0,12.0
17302583,Tata,Tiago,Revotron XZ Plus CNG,28619,2022,696000.0,petrol+cng,1,hatchback,manual,regular,Mumbai,2023,2025.0,12.0
17808235,Kia,Seltos,HTX Plus D,34431,2019,1241193.0,diesel,1,suv,manual,regular,Mumbai,2021,2025.0,12.0
