,id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
0,16914643,Kia,Sonet,HTX 1.5,54576,2020,926000.0,diesel,diesel,suv,manual,regular,Hyderabad,2021,2025.0,12.0
1,17900442,Hyundai,Elite i20,Asta 1.4 CRDI,46914,2015,628000.0,diesel,diesel,hatchback,manual,regular,Hyderabad,2016,2025.0,12.0
2,17875670,Renault,Kwid,1.0 RXT Opt,10387,2021,454000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2021,2025.0,12.0
3,17901021,Honda,WR-V,i-VTEC VX,26738,2022,857000.0,petrol,petrol,suv,manual,regular,Hyderabad,2022,2025.0,12.0
4,17509910,Maruti Suzuki,XL6,Alpha AT Petrol,28319,2019,965000.0,petrol,petrol,muv,automatic,Torque Convertor,Hyderabad,2020,2025.0,12.0
5,17707331,Maruti Suzuki,S-Cross,Zeta 1.3,63922,2019,878000.0,diesel,diesel,suv,manual,regular,Hyderabad,2020,2025.0,12.0
6,16222635,Hyundai,New Santro 1.1,Magna,22709,2021,437000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2021,2025.0,12.0
7,17995402,Maruti Suzuki,Swift,ZXI,37521,2022,684000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2022,2025.0,12.0
8,17732609,Hyundai,Xcent,SX Petrol,62972,2015,437000.0,petrol,petrol,sedan,manual,regular,Hyderabad,2016,2025.0,10.0
9,13650782,MG Motors,Astor,Savvy 1.3 Turbo AT S Red,57495,2022,1496678.0,petrol,petrol,suv,automatic,Torque Convertor,Hyderabad,2022,2025.0,12.0
10,17615435,Maruti Suzuki,XL6,Alpha Plus MT Petrol,32521,2022,1186653.0,petrol,petrol,muv,manual,regular,Hyderabad,2023,2025.0,12.0
11,16957244,Maruti Suzuki,Alto 800,VXI,37345,2022,364000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2022,2025.0,12.0
12,17928885,Maruti Suzuki,Swift Dzire,VDI,101984,2014,421000.0,diesel,diesel,sedan,manual,regular,Hyderabad,2014,2025.0,6.0
13,17513462,Maruti Suzuki,Alto 800,VXI,79518,2016,251000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2016,2025.0,12.0
14,15954553,Renault,Kwid,RXT 1.0 SCE Special (O),39700,2018,323000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2018,2025.0,12.0
15,17172123,Volkswagen,Vento,1.6L Highline Diesel,117394,2014,461000.0,diesel,diesel,sedan,manual,regular,Hyderabad,2014,,
16,17271199,Maruti Suzuki,Alto 800,LXI,50627,2014,242000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2014,2025.0,6.0
17,16266670,Hyundai,i10,Sportz 1.1 Petrol,33083,2015,362000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2015,2025.0,12.0
18,16422652,BMW,X1,sDrive20d xLine,34624,2019,2848058.0,diesel,diesel,suv,automatic,,Hyderabad,2020,2025.0,12.0
19,14726686,Mercedes-Benz,C-Class,C 220 CDI Progressive,42523,2019,3398508.0,diesel,diesel,sedan,automatic,Torque Convertor,Hyderabad,2020,2025.0,12.0
20,16914643,Kia,Sonet,HTX 1.5,54576,2020,926000.0,diesel,diesel,suv,manual,regular,Hyderabad,2021,2025.0,12.0
21,17900442,Hyundai,Elite i20,Asta 1.4 CRDI,46914,2015,628000.0,diesel,diesel,hatchback,manual,regular,Hyderabad,2016,2025.0,12.0
22,17875670,Renault,Kwid,1.0 RXT Opt,10387,2021,454000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2021,2025.0,12.0
23,17901021,Honda,WR-V,i-VTEC VX,26738,2022,857000.0,petrol,petrol,suv,manual,regular,Hyderabad,2022,2025.0,12.0
24,17509910,Maruti Suzuki,XL6,Alpha AT Petrol,28319,2019,965000.0,petrol,petrol,muv,automatic,Torque Convertor,Hyderabad,2020,2025.0,12.0
25,17707331,Maruti Suzuki,S-Cross,Zeta 1.3,63922,2019,878000.0,diesel,diesel,suv,manual,regular,Hyderabad,2020,2025.0,12.0
26,16222635,Hyundai,New Santro 1.1,Magna,22709,2021,437000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2021,2025.0,12.0
27,17995402,Maruti Suzuki,Swift,ZXI,37521,2022,684000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2022,2025.0,12.0
28,17732609,Hyundai,Xcent,SX Petrol,62972,2015,437000.0,petrol,petrol,sedan,manual,regular,Hyderabad,2016,2025.0,10.0
29,13650782,MG Motors,Astor,Savvy 1.3 Turbo AT S Red,57495,2022,1496678.0,petrol,petrol,suv,automatic,Torque Convertor,Hyderabad,2022,2025.0,12.0
30,17615435,Maruti Suzuki,XL6,Alpha Plus MT Petrol,32521,2022,1186653.0,petrol,petrol,muv,manual,regular,Hyderabad,2023,2025.0,12.0
31,16957244,Maruti Suzuki,Alto 800,VXI,37345,2022,364000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2022,2025.0,12.0
32,17928885,Maruti Suzuki,Swift Dzire,VDI,101984,2014,421000.0,diesel,diesel,sedan,manual,regular,Hyderabad,2014,2025.0,6.0
33,17513462,Maruti Suzuki,Alto 800,VXI,79518,2016,251000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2016,2025.0,12.0
34,15954553,Renault,Kwid,RXT 1.0 SCE Special (O),39700,2018,323000.0,petrol,petrol,hatchback,manual,regular,Hyderabad,2018,2025.0,12.0
