id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
16804053,Kia,Sonet,GTX Plus 1.0 iMT,8823,2022,1158000.0,petrol,1,suv,manual,iMT,Kochi,2023,2026,1
14986426,Hyundai,Eon,Sportz,49358,2018,314000.0,petrol,1,hatchback,manual,regular,Kochi,2018,2025,12
16336499,Renault,Triber,RXZ AMT,53887,2020,597000.0,petrol,1,muv,automatic,AMT,Kochi,2020,2025,12
16524786,Tata,Tiago,Revotron XZ Plus,32684,2019,530000.0,petrol,1,hatchback,manual,regular,Kochi,2019,2025,7
16109114,Tata,Tiago,Revotron XT,56790,2016,398000.0,petrol,1,hatchback,manual,regular,Kochi,2017,2025,12
14930855,Renault,Kwid,RXL,73068,2016,257000.0,petrol,1,hatchback,manual,regular,Kochi,2016,2025,12
16478096,Datsun,GO,T,30266,2017,268000.0,petrol,1,hatchback,manual,regular,Kochi,2017,2025,9
16420324,Tata,Tiago,Revotron XZ Plus,25314,2019,554000.0,petrol,1,hatchback,manual,regular,Kochi,2019,2025,6
16243667,Volkswagen,Polo,Highline1.2L (P),89751,2011,344000.0,petrol,2,hatchback,manual,regular,Kochi,2011,2025,4
16463322,Tata,Tiago,Revotron XM,120150,2019,419000.0,petrol,1,hatchback,manual,regular,Kochi,2019,2025,6
17510994,Hyundai,New Santro 1.1,Magna,49614,2018,378000.0,petrol,1,hatchback,manual,regular,Kochi,2018,2025,12
15650811,Hyundai,Elite i20,Asta 1.4 CRDI,98655,2015,519000.0,diesel,1,hatchback,manual,regular,Kochi,2015,2025,12
15985425,Hyundai,Xcent,SX Petrol,117253,2014,347000.0,petrol,1,sedan,manual,regular,Kochi,2014,2025,12
15301687,Hyundai,Elite i20,Sportz 1.2,37259,2018,604000.0,petrol,1,hatchback,manual,regular,Kochi,2018,2025,12
16124583,Maruti Suzuki,Baleno,Delta Petrol,119531,2016,462000.0,petrol,1,hatchback,manual,regular,Kochi,2016,2025,12
16575645,Datsun,GO,T,82936,2014,215000.0,petrol,2,hatchback,manual,regular,Kochi,2014,2025,12
16473220,Ford,Figo,Trend 1.2 Ti-VCT,94767,2017,354000.0,petrol,1,hatchback,manual,regular,Kochi,2017,2025,12
15702762,Tata,Altroz,XZ Turbo 1.2,18533,2021,732000.0,petrol,1,hatchback,manual,regular,Kochi,2021,2025,12
15746044,Maruti Suzuki,Swift Dzire,VXI,82168,2013,368000.0,petrol,1,sedan,manual,regular,Kochi,2013,2025,6
16089536,Renault,Kwid,RXT Opt,38333,2016,285000.0,petrol,1,hatchback,manual,regular,Kochi,2016,2025,12
15702762,Tata,Altroz,XZ Turbo 1.2,18533,2021,732000.0,petrol,1,hatchback,manual,regular,Kochi,2021,2025,12
15746044,Maruti Suzuki,Swift Dzire,VXI,82168,2013,368000.0,petrol,1,sedan,manual,regular,Kochi,2013,2025,6
16089536,Renault,Kwid,RXT Opt,38333,2016,285000.0,petrol,1,hatchback,manual,regular,Kochi,2016,2025,12
15697863,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,8881,2022,665000.0,petrol,1,hatchback,manual,regular,Kochi,2022,2025,12
16366031,Tata,Nexon,XZA Plus AMT Petrol,23104,2018,742000.0,petrol,1,suv,automatic,AMT,Kochi,2018,2025,12
15660805,Tata,Altroz,XZ 1.2,18589,2021,692000.0,petrol,1,hatchback,manual,regular,Kochi,2021,2025,12
16081033,Tata,Punch,Adventure Rhythm Pack MT,38418,2022,624000.0,petrol,1,suv,manual,regular,Kochi,2022,2025,5
16467266,Renault,Kwid,1.0 RXT Opt,16786,2021,436000.0,petrol,1,hatchback,manual,regular,Kochi,2021,2025,12
14987355,Hyundai,i20 Active,1.2 SX,96221,2016,525000.0,petrol,1,crossover,manual,regular,Kochi,2016,2025,12
16402035,Tata,Tiago,Revotron XZ Plus,17312,2020,551000.0,petrol,1,hatchback,manual,regular,Kochi,2021,2025,12
16281932,Renault,Triber,RXZ AMT,14438,2020,652000.0,petrol,1,muv,automatic,AMT,Kochi,2020,2025,12
17714847,Volkswagen,Polo,Trendline 1.0 (P),20042,2019,555000.0,petrol,1,hatchback,manual,regular,Kochi,2019,2025,5
13399190,Maruti Suzuki,Swift Dzire,ZXI,70465,2011,367000.0,petrol,1,sedan,manual,regular,Kochi,2011,2025,12
16897389,Tata,Tiago,Revotron XZ,39745,2019,481000.0,petrol,1,hatchback,manual,regular,Kochi,2019,2025,8
16440903,Maruti Suzuki,Alto 800,LXI,60219,2013,237000.0,petrol,1,hatchback,manual,regular,Kochi,2013,2025,12
14776282,Hyundai,Creta,SX Petrol,24040,2021,1263955.0,petrol,1,suv,manual,regular,Kochi,2021,2025,12
16276496,Datsun,Redi-GO,T (O),38333,2017,219000.0,petrol,2,hatchback,manual,regular,Kochi,2017,2025,12
16297372,Maruti Suzuki,Wagon R 1.0,LXI,64306,2015,339000.0,petrol,2,hatchback,manual,regular,Kochi,2015,2025,7
16050534,Nissan,Sunny,XL,98243,2012,274000.0,petrol,1,sedan,manual,regular,Kochi,2012,2025,4
16159797,Maruti Suzuki,Wagon R 1.0,VXI,58251,2012,312000.0,petrol,1,hatchback,manual,regular,Kochi,2012,2025,12
17714847,Volkswagen,Polo,Trendline 1.0 (P),20042,2019,555000.0,petrol,1,hatchback,manual,regular,Kochi,2019,2025,5
